zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
0,0,3,0,19,0.0673838,0.559359,-0.255251,0.0042801,0.00195976,6.05049e-05,-0.0869318,-0.113703,0.989704,0.322081,0.542123,0.443741,0.0141363,0.985864,0.00960339,0.000797656,0.670514,0.989704,0.143621,0.0876113,-0.114384,-0.390018,-0.255251,6.05049e-05,2.18399,0.602192,0,nan,nan,nan,-0.254651,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,1,3,1,87,0.155174,1.09919,-0.579665,0.0140603,0.0040713,8.6659e-05,-0.0913405,0.0948328,0.991294,0.484553,0.710441,0.283396,0.00616337,0.993837,0.0047567,0.00170548,0.560247,0.991294,0.132051,0.0918833,0.0953755,-0.0757291,-0.579665,8.6659e-05,3.45353,0.572111,0.0336787,-0.593162,3.64608,1,-0.476543,-0.221893,-0.63072,1,0.0291857,0.0353789,-0.0801908,0.466703,0.880771,0.0140377,0.600627,0,nan,nan,0,0,1,nan,nan,0,0,1,0.0572394,0.057621,-0.027812,0.419669,0.907251,0.0117898,0.549836,1,0.873563
0,1,4,1,49,-0.201846,1.07051,-0.593448,0.0131357,0.00336666,0.000259971,-0.0590498,0.0416545,0.997386,0.535386,0.743702,0.236507,0.0197911,0.980209,0.0155092,0.00225697,0.578071,0.997386,0.0723259,0.0591356,0.0417395,-0.0370733,-0.593448,0.000259971,3.90171,0.537361,0.107941,-0.573345,0.384504,0.16837,-0.489773,-0.220474,-0.547331,1,0.0169652,0.0270156,-0.0294005,0.467942,0.88327,0.0363781,0.555505,0,nan,nan,0,0,1,nan,nan,0,0,1,0.0511398,0.0489528,-0.0803779,0.399492,0.913206,0.0400879,0.446547,0.944444,0.857143
1,1,3,5,85,0.396309,3.39527,-1.72731,0.157906,0.039164,0.000347652,-0.046232,-0.0218231,0.998692,1.81747,0.751979,0.245819,0.00220164,0.997798,0.001761,0.0129065,0.510688,0.998692,0.0511459,0.0462595,-0.0218482,-0.197169,-1.72731,0.000347652,4.03192,0.0226565,0.0363596,-4.84845,10.8696,1,0.795628,-1.24392,-2.10357,1,0.523741,0.559399,0.447328,0.894287,0.0122205,2.90262,0.213534,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,4,5,321,-0.454078,3.41412,-1.75706,0.108111,0.0323666,0.000498225,-0.0372318,-0.0485859,0.998125,1.90274,0.700618,0.294774,0.00460844,0.995392,0.00353411,0.0120355,0.561335,0.998125,0.0612495,0.0372845,-0.0486388,0.093382,-1.75706,0.000498225,3.34021,0.0419078,0.0590782,-3.89879,10.3019,1,1.05474,-0.614223,-1.07511,1,0.610872,0.609523,-0.174677,0.984333,0.0240194,0.121135,0.0492512,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,2,6,175,1.89633,3.67984,-1.62281,0.0502759,0.0354191,0.00300569,-0.159598,0.0147372,0.987072,1.85025,0.295506,0.64471,0.0597839,0.940216,0.0338858,0.0174923,0.803067,0.987072,0.16097,0.160301,0.0149291,-0.428131,-1.62281,0.00300569,1.41946,0.0791324,0.055597,-1.23862,4.72274,1,-0.25376,0.255503,0.320251,1,0.0312364,0.0295494,0.991326,0.12711,0.0334032,0.0278094,0.022111,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,152,0.637795,3.98937,-1.69727,0.258788,0.0363923,0.000170146,-0.05293,-0.050612,0.997315,1.92838,0.859374,0.139969,0.000657473,0.999343,0.000576082,0.011702,0.378084,0.997315,0.0732993,0.0530228,-0.0507048,-0.164099,-1.69727,0.000170146,7.11106,0.0410534,0.070975,-3.402,14.3685,1,1.03629,0.240658,0.244796,1,0.662587,0.676918,-0.473551,-0.880615,0.016346,0.067761,0.266393,0,nan,nan,0,0,1,nan,nan,0,0,1,0.0156355,0.532388,-0.0588948,-0.0407139,0.997434,0.0415758,0.0534291,0.517647,0.171053
1,2,4,6,409,-0.481475,4.0243,-1.73667,0.11706,0.0288372,0.000689739,-0.0313293,-0.0492398,0.998295,1.91679,0.753654,0.240454,0.00589218,0.994108,0.00470532,0.0132541,0.524705,0.998295,0.0583962,0.0313725,-0.049284,0.138183,-1.73667,0.000689739,4.05933,0.0449603,0.0703928,-3.0438,13.8108,1,1.06599,0.0112494,0.00945876,1,0.547796,0.58551,0.433641,-0.901063,0.00644425,0.0443311,2.98794,1,0.787689,0.789352,0.0556346,0.094098,0.994007,0.240705,0.150034,0.273356,0.241192,1,1.07418,1.04254,-0.105955,-0.112989,0.987931,0.314032,0.139574,0.214953,0.232274
1,3,3,7,1613,1.05761,4.45894,-1.63571,0.237951,0.0164976,0.00151767,-0.0314016,-0.134288,0.990445,2.25207,0.930668,0.0629541,0.0063781,0.993622,0.0059292,0.0181285,0.274966,0.990445,0.138351,0.0316939,-0.134761,-0.0518564,-1.63571,0.00151767,14.4233,0.0856431,0.0360292,-2.98422,nan,nan,0.860856,-0.17543,-0.471445,1,0.295854,0.219022,-0.0625893,0.997978,0.0111027,0.0320871,2.51724,0,nan,nan,0,0,1,nan,nan,0,0,1,3.59822,1.83536,0.0735537,-0.0490035,0.996087,0.132639,0.172711,0.171053,0.0185989
1,3,4,7,1325,-0.737749,4.49671,1.88715,nan,nan,nan,0,0,1,-1.88715,0,0,0,0,0,0,0,1,0,-0,0,0,1.88715,nan,nan,0.0118739,0.0160781,2.43081,nan,nan,1.07997,0.0139818,0.0785007,1,0.265174,0.19484,-0.225859,0.974147,0.00509804,0.270306,2.87653,1,0.215995,0.263821,-0.138775,0.694727,0.705759,1.0184,0.525024,0.241192,0.12741,0,nan,nan,0,0,1,nan,nan,0,0
