zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
0,3,0,3,88,1.88619,0.741108,1.12335,nan,nan,nan,0,0,1,-1.12335,0,0,0,0,0,0,0,1,0,-0,0,0,1.12335,nan,nan,0.553267,0.108182,0.291458,nan,nan,1.59994,0.613759,0.716291,1,0.775976,0.780392,0.993481,0.0955417,0.0621844,0.0269582,1.61593,0,nan,nan,0,0,1,nan,nan,0,0,1,0.967467,0.760841,-0.0833736,-0.0765912,0.993571,0.145252,0.246374,0.6,0.136364
1,0,1,4,195,2.31428,1.64841,-2.07504,0.147684,0.0153611,0.00444178,0.0868298,-0.0919639,0.991969,2.00902,0.895987,0.0739366,0.0300762,0.969924,0.0265201,0.0215992,0.42633,0.991969,0.126818,-0.0873102,-0.0924442,1.85846,-2.07504,0.00444178,9.6142,0.0841688,0.00801551,-6.11843,15.0237,1,-0.120514,-1.94637,-2.89331,1,0.125826,0.0803864,0.993749,0.0950502,0.058548,0.00858323,1.62145,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,2,5,191,1.94862,2.74935,-1.6386,0.127208,0.0279534,0.00281742,0.0470126,-0.295338,0.954235,2.28398,0.780254,0.197598,0.0221483,0.977852,0.0178342,0.0215576,0.552707,0.954235,0.303703,-0.0492275,-0.300151,-0.70053,-1.6386,0.00281742,4.55071,0.152677,0.0589614,nan,nan,nan,0.0144799,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,3,5,96,0.382149,3.40358,-1.63168,0.0867325,0.0322353,0.000485811,-0.0869541,-0.0341782,0.995626,1.7741,0.628336,0.366063,0.00560126,0.994399,0.00406694,0.0110746,0.60828,0.995626,0.0935664,0.0871151,-0.0343149,-0.30308,-1.63168,0.000485811,2.6906,0.0381708,0.0404435,-3.89587,9.111,1,0.89723,-0.639772,-0.973399,1,0.669569,0.680703,0.152579,0.988164,0.0158639,0.0475235,0.165951,1,0.0631819,0.103796,-0.134228,0.152096,0.979209,0.206788,0.252586,0.492308,0.448276,1,0.0643182,0.111503,-0.122283,0.173946,0.977133,0.19724,0.22056,0.513889,0.479167
1,1,4,5,236,-0.434871,3.40282,-1.68256,0.0433816,0.0329951,0.000789948,-0.0626046,-0.0445451,0.997044,1.80194,0.239421,0.742369,0.0182093,0.981791,0.0102369,0.010418,0.733958,0.997044,0.0769097,0.0627079,-0.0446475,0.687739,-1.68256,0.000789948,1.31479,0.0268376,0.0585358,-3.59746,8.67928,1,1.0581,-0.441935,-0.720553,1,0.637825,0.638381,-0.272632,0.961516,0.0340422,0.0816804,0.0344714,0,nan,nan,0,0,1,nan,nan,0,0,1,0.0751495,0.661724,-0.110073,0.184125,0.97672,0.210754,0.092011,0.35109,0.288136
1,2,2,6,171,1.93106,3.65216,-1.53664,0.0443058,0.0285172,0.000948076,0.0881057,-0.087893,0.992226,1.67556,0.356354,0.622248,0.0213985,0.978602,0.0128516,0.0106203,0.729581,0.992226,0.124773,-0.0885637,-0.088351,-0.566573,-1.53664,0.000948076,1.55365,0.0795728,0.0386164,-1.46458,5.28546,1,0.0657936,0.0513137,0.0651067,1,0.131073,0.115641,0.978676,0.205131,0.0107161,0.107428,3.05675,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,1158,0.528444,4.04911,-1.595,0.195962,0.0383784,0.000505248,-0.0834188,-0.0698192,0.994066,1.91232,0.804154,0.193268,0.0025783,0.997422,0.00215141,0.0156047,0.460275,0.994066,0.108998,0.0837207,-0.0701208,-0.165369,-1.595,0.000505248,5.10604,0.0617387,0.0856816,-3.30048,10.2043,1,1.04643,0.149199,0.182873,1,0.830526,0.849399,-0.0273418,0.999454,0.0185637,0.0120597,0.13584,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,4,6,997,-0.385776,4.07495,-1.64136,0.0484703,0.0323509,0.00108891,-0.0956629,-0.131612,0.986675,2.11889,0.332562,0.644972,0.0224656,0.977534,0.013294,0.0119523,0.734817,0.986675,0.163432,0.0966528,-0.132606,0.535665,-1.64136,0.00108891,1.49827,0.116625,0.0615685,-2.88238,12.2227,1,1.0817,0.0235924,0.0206314,1,0.768369,0.780336,-0.165767,0.986031,0.0162834,0.0443432,0.187641,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,2,7,148,2.03442,4.18614,-1.49562,0.0356162,0.0192335,0.00171885,-0.0662514,-0.158129,0.985193,2.2702,0.459978,0.491762,0.0482604,0.95174,0.0303853,0.0105596,0.764247,0.985193,0.172298,0.067146,-0.159148,1.49967,-1.49562,0.00171885,1.85178,0.126663,0.0319236,-2.05728,nan,nan,0.248886,0.183092,0.25051,1,0.0225549,0.0247639,0.992886,0.101,0.0630638,0.0127376,0.0103003,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,3,7,426,1.73301,4.5576,1.23508,0.00994288,2.60404e-12,2.12131e-13,-0.0592569,-0.00529168,0.998229,-1.10609,1,2.40564e-10,2.1335e-11,1,2.1335e-11,1.76436e-09,6.06154e-09,0.998229,0.0595281,0.0592924,-0.00530102,0.0890645,1.23508,2.12131e-13,3.81826e+09,0.0174492,0.0286668,0.242449,nan,nan,0.358649,-0.687779,-0.907508,1,0.0347352,0.027862,-0.0535894,0.998305,0.0227083,0.0415169,0.0159162,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
