zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
0,0,1,0,18,0.481853,0.318715,-0.105541,0.00381298,0.00138772,5.76365e-05,0.0115965,0.0659199,0.997757,0.0787066,0.636054,0.34883,0.0151159,0.984884,0.010961,0.000673113,0.634097,0.997757,0.0669827,-0.011622,0.0659722,-0.717416,-0.105541,5.76365e-05,2.74766,0.0695803,0,nan,nan,nan,-0.106574,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,0,3,0,16,0.0927194,0.553772,-0.291117,0.00618151,0.00172121,0.000116586,-0.145847,0.0860978,0.985554,0.252755,0.721555,0.259585,0.0188604,0.98114,0.0145381,0.00107446,0.592432,0.985554,0.170184,0.146918,0.0871386,-0.54354,-0.291117,0.000116586,3.59137,0.661075,0,nan,nan,nan,-0.292757,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,1,3,1,91,0.163826,1.13435,-0.610238,0.0136103,0.00298128,0.000105548,-0.0890812,0.0599293,0.99422,0.553324,0.780954,0.211291,0.00775499,0.992245,0.00632131,0.00162395,0.506252,0.99422,0.107571,0.0893605,0.0602049,-0.0843665,-0.610238,0.000105548,4.56524,0.544759,0.0367001,-0.545589,3.75838,1,-0.487441,-0.194684,-0.564181,1,0.0309086,0.0316833,-0.0501356,0.524931,0.849667,0.0100306,0.446596,0,nan,nan,0,0,1,nan,nan,0,0,1,0.0393714,0.0378445,-0.0188115,0.419419,0.907598,0.00681849,0.367187,1,0.769231
0,1,4,1,55,-0.217346,1.11456,-0.633553,0.0170634,0.00324021,0.000236644,-0.0652286,0.0374234,0.997168,0.575871,0.810108,0.176024,0.0138685,0.986131,0.011521,0.00235638,0.496807,0.997168,0.0752725,0.0653208,0.0375121,0.0455411,-0.633553,0.000236644,5.26614,0.514817,0.103204,-0.552753,0.412616,0.189294,-0.525534,-0.213325,-0.511576,1,0.0192693,0.0327507,-0.0794238,0.497292,0.86394,0.0224641,0.716676,0,nan,nan,0,0,1,nan,nan,0,0,1,0.0318706,0.0341289,-0.0717632,0.409883,0.909311,0.0262115,0.352928,0.928571,0.8
1,1,3,5,90,0.419478,3.40343,-1.74594,0.166735,0.0280344,0.000264704,-0.0386475,-0.0274268,0.998876,1.85354,0.831863,0.16655,0.00158757,0.998412,0.00135722,0.0107356,0.421803,0.998876,0.047408,0.0386717,-0.0274507,-0.139835,-1.74594,0.000264704,5.94752,0.0257403,0.0382254,-4.8695,12.0211,1,0.805311,-1.22023,-2.07927,1,0.477381,0.500897,0.486294,0.873681,0.0141614,2.95942,0.160727,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,4,5,324,-0.46374,3.38915,-1.79198,0.0860752,0.0310695,0.000511843,-0.047621,-0.00514034,0.998852,1.78526,0.639042,0.355011,0.00594646,0.994054,0.00435031,0.0111032,0.603929,0.998852,0.0479159,0.0476397,-0.0051462,0.10724,-1.79198,0.000511843,2.77041,0.011476,0.0597299,-4.1076,10.7405,1,1.01142,-0.661705,-1.16459,1,0.561986,0.58725,-0.189748,0.981803,0.00760844,3.02857,0.0674761,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,2,6,160,1.93434,3.58613,-1.63967,0.0783165,0.0424513,0.00266403,-0.164283,-0.00491123,0.986401,1.95276,0.457953,0.508031,0.0340162,0.965984,0.021583,0.02069,0.738521,0.986401,0.165105,0.165033,-0.00497889,2.04184,-1.63967,0.00266403,1.84486,0.0835047,0.0573875,-1.39548,4.85993,1,-0.302386,0.201369,0.257041,1,0.0222447,0.0283795,0.992731,0.115021,0.0354209,0.0139994,0.0142818,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,98,0.588185,3.99668,-1.71999,0.247055,0.0389271,9.14559e-05,-0.0492241,-0.0448245,0.997782,1.92427,0.842435,0.157194,0.000370185,0.99963,0.000319694,0.00958117,0.400618,0.997782,0.0666229,0.0492936,-0.044894,-0.142471,-1.71999,9.14559e-05,6.34661,0.0354962,0.0581736,-3.4078,13.8181,1,0.320911,-0.4844,-0.671152,1,0.650426,0.678607,-0.415256,-0.909638,0.0110257,0.0322871,0.101322,1,3.71587,2.33907,-0.055064,-0.0243286,0.998187,0.0153636,0.0374059,0.518519,0.382022,1,3.70719,2.34812,-0.0453263,-0.021991,0.99873,0.0231797,0.0220381,0.555556,0.428571
1,2,4,6,301,-0.493695,4.00291,-1.76388,0.104412,0.0351053,0.000765567,-0.0365035,-0.0344483,0.99874,1.88153,0.66378,0.328888,0.0073322,0.992668,0.00545732,0.0141048,0.594909,0.99874,0.050214,0.0365333,-0.0344781,0.135515,-1.76388,0.000765567,2.97424,0.0289162,0.0648888,-3.16111,13.2264,1,0.948762,-0.0626594,-0.0649874,1,0.623353,0.641256,0.400652,-0.916196,0.00790055,0.0517728,0.108845,1,0.0247705,0.902838,-0.069357,-0.0192025,0.997407,0.0329831,0.0351343,0.208904,0.217712,1,0.018147,0.923187,-0.0344088,-0.0578371,0.997733,0.0382351,0.0269759,0.237654,0.192691
1,3,3,7,1703,0.986243,4.48959,-1.65731,0.259992,0.0166755,0.00145109,-0.0502399,-0.162349,0.985454,2.41164,0.935861,0.0585572,0.0055813,0.994419,0.00521754,0.0184605,0.259155,0.985454,0.170774,0.0509374,-0.163279,-0.0569582,-1.65731,0.00145109,15.5913,0.110848,0.03819,-2.80875,nan,nan,0.854873,0.533962,1.33911,1,0.456394,0.443141,-0.0639202,0.997793,0.0180029,0.0206299,2.61635,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
