zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
0,1,4,1,42,-0.164547,1.15822,-0.350229,0.0167922,0.00227092,0.000180552,-0.0619613,0.0914633,0.993879,0.231955,0.864763,0.124485,0.0107521,0.989248,0.0093824,0.00190241,0.414899,0.993879,0.1107,0.0622623,0.0917681,0.144618,-0.350229,0.000180552,7.39443,0.437908,0.0205587,nan,nan,nan,-0.263445,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,2,3,2,86,0.00581932,1.59284,-0.504802,nan,nan,nan,0,0,1,0.504802,0,0,0,0,0,0,0,1,0,-0,0,0,-0.504802,nan,nan,0.373983,0.051628,-0.483136,3.65857,1,-0.386158,-0.185816,-0.363335,1,0.293951,0.272524,-0.649733,0.733595,0.199212,0.147661,0.887798,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,0,1,4,109,1.88188,1.83434,1.70282,nan,nan,nan,0,0,1,-1.70282,0,0,0,0,0,0,0,1,0,-0,0,0,1.70282,nan,nan,0.272199,0.0135116,0.344543,-6.81436,-1,1.657,0.263945,0.667501,1,0.43024,0.371648,0.928202,0.371512,0.0204784,0.330768,2.5497,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,0,2,4,17,2.16253,2.21999,2.38858,nan,nan,nan,0,0,1,-2.38858,0,0,0,0,0,0,0,1,0,-0,0,0,2.38858,nan,nan,0.0413439,0.015535,0.595586,-3.96073,-1,1.9732,0.400678,0.471764,1,0.631428,0.660204,-0.262631,-0.961816,0.0770324,0.70186,0.0474897,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,2,5,104,1.72866,2.64043,2.22126,nan,nan,nan,0,0,1,-2.22126,0,0,0,0,0,0,0,1,0,-0,0,0,2.22126,nan,nan,0.129323,0.0391935,0.599215,-6.4625,-1,-0.34063,-2.31383,-3.0103,1,0.564715,0.581463,0.962642,0.263298,0.0632051,0.138371,1.96097,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,81,0.625414,4.01127,-1.55753,0.223049,0.0362503,8.81816e-05,-0.0625223,-0.0579632,0.996359,1.82347,0.837478,0.162127,0.000395347,0.999605,0.000339962,0.00893366,0.40752,0.996359,0.0853607,0.0626686,-0.0581095,-0.189515,-1.55753,8.81816e-05,6.15301,0.039591,0.0425266,-4.22141,10.3396,1,0.694967,-1.43942,-2.16471,1,0.64568,0.660061,0.105429,0.99395,0.0308098,0.0209766,0.0433822,1,0.011723,0.0456334,-0.0653718,0.0381714,0.997131,0.0802112,0.0630167,0.571429,0.479452,1,0.0494711,0.0882305,-0.103901,0.12792,0.986327,0.15936,0.0666793,0.592857,0.469136
1,2,4,6,200,-0.321791,4.02693,-1.61698,0.0486541,0.0296,0.000857041,-0.0890144,-0.0798689,0.992823,1.89836,0.391623,0.590762,0.017615,0.982385,0.0108334,0.0107268,0.715816,0.992823,0.119879,0.0894188,-0.0802734,0.151045,-1.61698,0.000857041,1.64372,0.0512799,0.0598702,-3.41231,9.15951,1,1.11153,-0.28801,-0.445322,1,0.645092,0.640788,-0.256282,0.965488,0.0463995,0.0365841,0.0263,1,0.0285575,0.725577,-0.0465776,0.0335047,0.998353,0.124092,0.0418374,0.271845,0.2,1,0.0466843,0.767328,-0.0582511,0.0789218,0.995178,0.127336,0.0591814,0.279883,0.23
1,3,3,7,1867,0.896293,4.63329,-1.50179,0.312381,0.0337949,0.000477754,-0.0593472,-0.0901115,0.994162,1.96373,0.891815,0.106655,0.0015294,0.998471,0.00137819,0.0171493,0.329844,0.994162,0.10811,0.059625,-0.0903937,-0.164956,-1.50179,0.000477754,9.24343,0.0725306,0.0727049,-2.82467,nan,nan,1.26808,0.573117,0.718614,1,0.782717,0.791144,-0.010303,0.999276,0.0366254,0.00693979,0.104308,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,4,7,619,-0.374217,4.63658,-1.58154,0.0702152,0.0367111,0.00112524,-0.0533794,-0.0463365,0.997499,1.77245,0.477164,0.506811,0.0160256,0.983974,0.0104139,0.0142613,0.694417,0.997499,0.0707439,0.0534623,-0.0464193,-0.0728657,-1.58154,0.00112524,1.91264,0.0325672,0.0475027,-3.33024,nan,nan,1.23602,0.124487,0.124598,1,0.758025,0.76253,-0.076644,0.996804,0.022506,0.0313446,0.200296,0,nan,nan,0,0,1,nan,nan,0,0,1,1.02918,0.92859,-0.0870196,-0.103785,0.990786,0.20566,0.0718775,0.23,0.092084
