zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
0,3,0,3,139,2.18945,0.582806,0.791049,0.030435,0.0147647,0.00161915,-0.212898,-0.00520762,0.97706,-0.303738,0.51488,0.43192,0.0532002,0.9468,0.0345833,0.00899418,0.760264,0.97706,0.214605,0.214543,-0.00532984,-0.581475,0.791049,0.00161915,2.06134,0.589206,0.126001,nan,nan,nan,1.42032,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,97,0.489876,4.02949,-1.57348,0.150765,0.0301141,8.00007e-05,-0.0807304,-0.081268,0.993417,1.93014,0.800258,0.199211,0.000530632,0.999469,0.000442093,0.00713489,0.45393,0.993417,0.114803,0.0810871,-0.0816248,-0.15946,-1.57348,8.00007e-05,5.00646,0.0554502,0.0434085,-4.15428,11.0327,1,0.782665,-1.23992,-1.86866,1,0.642636,0.657982,0.120848,0.992354,0.0250859,0.0215872,0.0947551,1,0.0156839,0.0436941,-0.125831,-0.0171376,0.991904,0.0789637,0.0523444,0.615385,0.5,1,0.0237389,0.0512453,-0.132014,-0.00821123,0.991214,0.063789,0.0407121,0.576923,0.453608
1,2,4,6,222,-0.414364,4.00611,-1.65971,0.0415977,0.0231619,0.000933067,-0.0641232,-0.0559376,0.996373,1.85121,0.443191,0.534378,0.0224308,0.977569,0.0142035,0.0096513,0.717326,0.996373,0.0851955,0.064268,-0.0560824,1.83951,-1.65971,0.000933067,1.79595,0.0237742,0.0634687,-3.69845,9.8281,1,1.05482,-0.310539,-0.466442,1,0.574137,0.606238,-0.311724,0.949673,0.030792,3.1059,0.0356213,1,3.65104,1.98526,-0.10258,0.0348418,0.994114,0.0669578,0.0113467,0.300613,0.05,1,0.0545545,0.757234,-0.101522,0.0325083,0.994302,0.186386,0.0413241,0.281768,0.130631
1,3,2,7,157,2.12287,4.22419,-1.38123,0.0758216,0.0320466,0.000744843,-0.172111,-0.0538329,0.983606,1.95135,0.577342,0.412834,0.00982362,0.990176,0.00685776,0.0121865,0.645209,0.983606,0.181325,0.173226,-0.0546756,-0.0141012,-1.38123,0.000744843,2.36598,0.0920414,0.0432901,-1.28792,nan,nan,0.0741791,0.282492,0.355479,1,0.161591,0.141744,0.98154,0.189799,0.0235866,0.150556,3.04174,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,3,7,2028,0.813581,4.59377,-1.4945,0.313678,0.0343817,8.59874e-05,-0.085166,-0.0859964,0.992649,1.94785,0.890392,0.109334,0.000274127,0.999726,0.000246987,0.00975173,0.324615,0.992649,0.121329,0.0855871,-0.0864175,-0.156563,-1.4945,8.59874e-05,9.1234,0.0761874,0.0750868,-3.12669,nan,nan,1.30884,0.526178,0.703771,1,0.77891,0.790817,0.000995771,0.998438,0.0558577,0.0188829,0.126156,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,4,7,605,-0.420347,4.66759,-1.59533,0.0428923,0.0141116,0.00131311,-0.0645201,-0.0757688,0.995036,1.91395,0.670999,0.298387,0.030614,0.969386,0.0225167,0.009263,0.65471,0.995036,0.0996824,0.0647513,-0.0760002,1.26938,-1.59533,0.00131311,3.03951,0.0567809,0.0522801,-3.29286,nan,nan,1.286,0.231185,0.237437,1,0.818257,0.798118,-0.0793961,0.996585,0.0226773,0.038541,2.89208,0,nan,nan,0,0,1,nan,nan,0,0,1,0.900928,0.843351,-0.093581,-0.021084,0.995389,0.172537,0.13356,0.130631,0.0859504
