zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
0,0,0,0,16,0.596451,0.134631,1.03014,0.00250883,1.31037e-05,1.83296e-10,0.274109,0.061444,0.959734,-1.16042,0.994777,0.00522294,7.30601e-08,1,7.26805e-08,1.81972e-06,0.0325134,0.959734,0.284744,-0.278203,0.0639347,1.66962,1.03014,1.83296e-10,191.46,0.158742,0,nan,nan,nan,0.819267,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,1,1,1,399,0.679249,0.673658,0.533439,nan,nan,nan,0,0,1,-0.533439,0,0,0,0,0,0,0,1,0,-0,0,0,0.533439,nan,nan,0.152857,0.0245617,nan,nan,nan,0.887644,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,1,3,1,42,0.181467,1.05648,-0.291887,0.0109072,0.00444169,0.000212838,-0.142823,-0.0268076,0.989385,0.343028,0.592773,0.387713,0.0195136,0.980486,0.013677,0.00217656,0.665655,0.989385,0.145833,0.143365,-0.0270885,-0.0601405,-0.291887,0.000212838,2.45564,0.463405,0.0359295,nan,nan,nan,-0.283057,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,3,2,3,153,1.00846,1.60176,0.721286,nan,nan,nan,0,0,1,-0.721286,0,0,0,0,0,0,0,1,0,-0,0,0,0.721286,nan,nan,0.176778,0.0787742,-0.801989,nan,nan,1.4422,0.380366,0.807848,1,0.11184,0.0757401,-0.99047,-0.131509,0.0409214,1.15861,0.0352377,0,nan,nan,0,0,1,nan,nan,0,0,1,0.232371,0.292049,0.0604427,-0.395816,0.916339,0.651137,0.0307125,0.109827,0.163399
0,3,4,3,349,-0.51598,2.0516,-0.757335,0.123491,0.00352633,1.46516e-06,0.25628,-0.0890254,0.962494,1.04381,0.971445,0.0285435,1.18644e-05,0.999988,1.15349e-05,0.00086089,0.127018,0.962494,0.274746,-0.260229,-0.0922321,0.29118,-0.757335,1.46516e-06,35.0197,0.367451,0.104596,-0.388688,nan,nan,0.466231,1.00715,1.32195,1,0.547079,0.557538,0.322431,-0.935963,0.14146,0.243162,1.82749,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,0,1,4,109,2.06754,1.61234,2.39193,nan,nan,nan,0,0,1,-2.39193,0,0,0,0,0,0,0,1,0,-0,0,0,2.39193,nan,nan,0.289671,0.0147936,1.95592,-11.9169,-1,1.67426,0.305106,0.677858,1,0.467802,0.411291,-0.845091,-0.534583,0.00659548,2.60903,0.453841,0,nan,nan,0,0,1,nan,nan,0,0,1,0.0525425,0.306673,-0.301122,-0.127472,0.945027,0.652954,0.0209652,0.202381,0.12844
1,1,2,5,66,2.13027,2.3465,2.4426,nan,nan,nan,0,0,1,-2.4426,0,0,0,0,0,0,0,1,0,-0,0,0,2.4426,nan,nan,0.128611,0.0418219,1.12315,-6.51961,-1,-0.0446826,-2.0015,-2.76323,1,0.551829,0.533971,0.673838,0.733657,0.087689,0.160036,2.23278,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,4,5,343,-0.422908,3.28568,2.06813,0.0627261,0.0245691,0.00109924,-0.0483413,0.122771,0.991257,-2.47388,0.608312,0.374164,0.0175244,0.982476,0.0124356,0.0119209,0.653841,0.991257,0.132332,0.0487291,0.123227,0.344122,2.06813,0.00109924,2.55305,0.117304,0.0697205,1.22612,-4.10653,-1,1.35463,-0.1718,-0.289732,1,0.594357,0.557852,-0.424518,0.905252,0.0174408,0.219664,3.08588,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,78,0.499836,4.01838,-1.5624,0.21031,0.0364942,0.000110023,-0.0777435,-0.096998,0.992244,1.97892,0.826474,0.173003,0.000523144,0.999477,0.00044559,0.00945196,0.422689,0.992244,0.12463,0.0781915,-0.0974466,-0.124609,-1.5624,0.000110023,5.76283,0.0662788,0.0437386,-4.29508,10.5579,1,0.508578,-1.61968,-2.43255,1,0.603534,0.648549,0.0314856,0.999452,0.010225,3.06077,0.12512,1,0.0384166,0.0697681,-0.101995,0.0478649,0.993633,0.141459,0.0573076,0.615385,0.492958,1,0.0344355,0.0733052,-0.103609,0.0318053,0.99411,0.137552,0.0704905,0.561538,0.461538
1,2,4,6,196,-0.300227,4.03514,-1.57812,0.0479233,0.0333355,0.00145251,0.130135,0.0221769,0.991248,1.51389,0.304398,0.665293,0.030309,0.969691,0.0175612,0.0132391,0.753447,0.991248,0.132396,-0.130537,0.0223689,-0.405001,-1.57812,0.00145251,1.4376,0.035849,0.065285,-3.30787,8.89646,1,1.11148,-0.243146,-0.370506,1,0.644522,0.656663,-0.259095,0.965246,0.0342064,3.00704,0.0471949,1,0.0962098,0.760462,-0.0755732,0.0737801,0.994407,0.175028,0.058713,0.31068,0.180791,1,0.0916727,0.771903,-0.0943206,0.0897827,0.991485,0.122745,0.0528478,0.294461,0.147959
