zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
0,1,3,1,47,0.208318,1.12754,-0.283189,0.0125118,0.00385697,0.000153109,-0.152626,-0.0850595,0.984617,0.406535,0.691733,0.29603,0.0122371,0.987763,0.00926701,0.0019477,0.593536,0.984617,0.17563,0.153786,-0.0861745,-0.0946506,-0.283189,0.000153109,3.24394,0.494481,0.0514016,nan,nan,nan,-0.244378,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,1,4,1,42,-0.137793,1.13805,-0.310364,0.0218189,0.00277219,0.00019561,-0.0887446,-0.0215611,0.995821,0.321377,0.872945,0.118089,0.00896518,0.991035,0.00789174,0.00227867,0.395481,0.995821,0.0914533,0.0888822,-0.0216482,0.0670841,-0.310364,0.00019561,7.87063,0.480862,0.07046,-0.47276,0.345115,0.200212,-0.249956,-0.235131,-0.438786,1,0.0381493,0.038564,-0.127219,0.458708,0.879433,0.00835805,0.629766,0,nan,nan,0,0,1,nan,nan,0,0,1,0.00172678,0.0245643,-0.119503,0.392108,0.912124,0.0152389,0.457058,0.928571,0.880952
0,2,3,2,85,0.0215416,1.52172,-0.457278,nan,nan,nan,0,0,1,0.457278,0,0,0,0,0,0,0,1,0,-0,0,0,-0.457278,nan,nan,0.388649,0.068899,-0.442987,3.81046,1,-0.417122,-0.172745,-0.459795,1,0.328846,0.315999,-0.666585,0.740809,0.082864,0.266328,1.05249,0,nan,nan,0,0,1,nan,nan,0,0,1,0.0197126,0.0379118,-0.160232,0.391414,0.906157,0.00375056,0.0197742,0.829787,0.647059
0,3,2,3,136,0.823034,1.95964,1.06872,nan,nan,nan,0,0,1,-1.06872,0,0,0,0,0,0,0,1,0,-0,0,0,1.06872,nan,nan,0.20484,0.0831369,0.150979,nan,nan,1.37977,0.353533,0.760444,1,0.157575,0.105576,-0.989067,-0.13995,0.0464917,1.20382,0.0522041,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,2,5,53,1.67652,2.72863,2.2463,nan,nan,nan,0,0,1,-2.2463,0,0,0,0,0,0,0,1,0,-0,0,0,2.2463,nan,nan,0.117632,0.0405409,0.564052,-6.83785,-1,0.0198344,-1.98106,-3.15686,1,0.503608,0.430996,0.747777,0.659862,0.0735636,0.251786,2.36647,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,66,0.440335,4.07435,-1.54146,0.142424,0.023748,0.000186617,-0.0931371,-0.126275,0.987613,2.07787,0.833258,0.165431,0.00131029,0.99869,0.00112178,0.00857802,0.418496,0.987613,0.157558,0.0940271,-0.127168,-0.156109,-1.54146,0.000186617,5.9973,0.105533,0.0429894,-4.08315,10.1644,1,0.738311,-1.4191,-2.26124,1,0.575953,0.611617,0.231474,0.972494,0.0259923,0.131058,0.0829418,1,0.054903,0.091149,-0.10923,0.085109,0.990366,0.213196,0.0323277,0.538462,0.433333,1,0.0584066,0.0898193,-0.126198,0.0788864,0.988863,0.0808779,0.0285372,0.496124,0.439394
1,2,4,6,198,-0.28946,4.0338,-1.57329,0.0356317,0.0264,0.00128386,0.102668,-0.0347674,0.994108,1.73398,0.259085,0.704883,0.0360314,0.963969,0.0202771,0.0106493,0.767318,0.994108,0.108609,-0.102912,-0.0349592,-0.351267,-1.57329,0.00128386,1.34968,0.0335845,0.0641482,-3.40295,8.62574,1,1.02498,-0.478225,-0.762813,1,0.585349,0.625522,-0.258502,0.965632,0.027028,3.03983,0.0319996,1,0.0774136,0.717425,-0.100906,0.0793725,0.991725,0.301123,0.0873578,0.340557,0.178771,1,0.117129,0.756539,-0.0868173,0.151367,0.984658,0.205077,0.0500725,0.346369,0.186869
1,3,2,7,99,2.15025,4.16483,-1.34736,0.0615854,0.0511837,0.000607672,-0.200289,-0.0950342,0.975117,2.1403,0.168899,0.821234,0.00986715,0.990133,0.00535976,0.0124192,0.718566,0.975117,0.223549,0.202583,-0.0971525,0.617327,-1.34736,0.000607672,1.20322,0.17796,0.0331192,-1.02394,nan,nan,-0.0544319,0.329631,0.420961,1,0.164641,0.145752,0.976094,0.217033,0.0117038,0.152819,2.99942,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,3,7,1122,0.749269,4.61828,-1.45109,0.292532,0.0360282,0.000156375,-0.101721,-0.122252,0.987273,2.07343,0.87684,0.122625,0.000534559,0.999465,0.000475715,0.0118121,0.349744,0.987273,0.159716,0.10267,-0.123201,-0.159681,-1.45109,0.000156375,8.11953,0.113572,0.0772726,-3.07918,nan,nan,1.50308,0.764765,0.804553,1,0.829222,0.838815,-0.109643,-0.993476,0.0313692,0.0224322,2.88603,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,4,7,593,-0.32636,4.67571,-1.52509,0.043107,0.0306514,0.000389405,-0.0542648,-0.11555,0.991818,2.03518,0.288946,0.70202,0.00903345,0.990967,0.00525174,0.00801308,0.70806,0.991818,0.128007,0.054658,-0.115981,1.19061,-1.52509,0.000389405,1.40636,0.125129,0.0705621,-2.96074,nan,nan,1.36659,0.341602,0.306963,1,0.795121,0.778515,-0.240539,0.970623,0.00573631,0.0196836,3.02706,0,nan,nan,0,0,1,nan,nan,0,0,1,0.816185,0.719638,-0.0612815,0.125073,0.990253,0.291436,0.177178,0.186869,0.131535
2,0,3,8,692,1.25724,5.08145,-1.33339,0.311937,0.0232021,0.00130294,-0.10903,-0.233772,0.966159,2.61324,0.925619,0.0702039,0.00417692,0.995823,0.00387269,0.0211271,0.276045,0.966159,0.260897,0.112373,-0.237397,-0.0904684,-1.33339,0.00130294,13.4443,0.1163,0.00874127,-3.09011,nan,nan,0.402305,-1.10077,-1.93051,1,0.167544,0.145135,0.0244397,0.999489,0.0205934,0.114575,3.03965,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
