zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
0,0,4,0,17,-0.0700353,0.525871,-0.0135871,0.00353443,0.00287404,0.00014401,-0.271029,0.121012,0.954934,-0.0696436,0.186845,0.77241,0.040745,0.959255,0.021978,0.00113519,0.778351,0.954934,0.301358,0.276547,0.126051,-0.623777,-0.0135871,0.00014401,1.22978,0.653365,0,nan,nan,nan,-0.013257,nan,nan,0,nan,nan,0,0,1,nan,nan,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,1,3,1,49,0.183368,1.15794,-0.282761,0.0137951,0.00235335,0.000158471,-0.158238,-0.059366,0.985615,0.376452,0.829406,0.159106,0.0114875,0.988512,0.00971806,0.00172632,0.465902,0.985615,0.169823,0.159189,-0.0601598,-0.0943878,-0.282761,0.000158471,5.86188,0.496034,0.0611378,-0.583364,1.89234,1,-0.178315,-0.2831,-0.486131,1,0.0055415,0.0399042,-0.28975,0.513416,0.807743,0.16663,0.70171,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
0,1,4,1,45,-0.167041,1.16507,-0.309046,0.0204432,0.00205035,0.000230125,-0.078309,0.0372856,0.996232,0.251361,0.899705,0.089038,0.0112568,0.988743,0.0101271,0.0021287,0.358691,0.996232,0.0868405,0.0784439,0.0374091,0.122014,-0.309046,0.000230125,9.97061,0.504105,0.0808184,-0.474121,0.482081,0.279097,-0.186809,-0.173552,-0.413833,1,0.0556047,0.0572386,-0.157983,0.473092,0.866732,0.00661438,0.153476,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,0,1,4,122,2.13336,1.31542,2.29314,nan,nan,nan,0,0,1,-2.29314,0,0,0,0,0,0,0,1,0,-0,0,0,2.29314,nan,nan,0.236893,0.0248968,3.51876,nan,nan,1.58464,0.186833,0.415024,1,0.364418,0.305875,-0.906321,-0.422105,0.0202402,2.75181,0.69013,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,4,5,382,-0.555671,3.32641,-1.29665,0.0389616,0.0171963,0.00377672,0.10422,0.233009,0.966874,0.536525,0.558636,0.34443,0.0969344,0.903066,0.063014,0.0136269,0.812399,0.966874,0.258112,-0.107376,0.236483,0.0513696,-1.29665,0.00377672,2.2657,0.224102,0.0734753,-4.02815,10.8135,1,1.5769,0.0766021,0.124363,1,0.588074,0.546712,-0.351417,0.936202,0.00556578,0.214523,3.04034,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,2,6,85,2.48252,2.86788,-1.36446,nan,nan,nan,0,0,1,1.36446,0,0,0,0,0,0,0,1,0,-0,0,0,-1.36446,nan,nan,0.0399294,0.0320188,-4.75151,4.19848,1,-0.475445,-0.791605,-1.15875,1,0.295437,0.311075,0.893266,0.448496,0.0304312,2.99679,0.152781,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,66,0.475184,4.08432,-1.53545,0.146998,0.0258397,0.000606954,-0.0838754,-0.0685651,0.994115,1.84631,0.824218,0.171653,0.00412899,0.995871,0.00349941,0.0132105,0.443651,0.994115,0.108547,0.0841726,-0.0688619,-0.203204,-1.53545,0.000606954,5.68887,0.0700917,0.0449369,-4.01252,9.38003,1,0.548913,-1.61343,-2.62495,1,0.613861,0.633981,0.317427,0.947704,0.0331426,0.0348925,0.0584931,1,3.64009,1.86527,-0.103642,0.0930013,0.990257,0.22176,0.092228,0.495146,0.4,1,0.0724621,0.138075,-0.0914197,0.1853,0.97842,0.202794,0.0832613,0.491228,0.409091
1,2,4,6,206,-0.439843,4.08421,-1.56797,0.0391298,0.0279998,0.00222739,0.170657,-0.0345488,0.984725,1.76019,0.284436,0.658641,0.0569233,0.943077,0.0321149,0.0134634,0.799541,0.984725,0.175011,-0.1716,-0.0350704,-0.01754,-1.56797,0.00222739,1.3975,0.0589037,0.0657404,-3.378,8.65569,1,1.06512,-0.511782,-0.825906,1,0.660423,0.667712,-0.212798,0.976578,0.0318126,0.186484,0.0676526,1,0.0596416,0.632278,-0.100417,0.0223462,0.994694,0.08696,0.05049,0.255814,0.215054,1,0.16951,0.648767,-0.125979,0.314044,0.941013,0.422261,0.0993632,0.363874,0.0825243
1,3,2,7,89,2.42302,4.31129,-1.24387,nan,nan,nan,0,0,1,1.24387,0,0,0,0,0,0,0,1,0,-0,0,0,-1.24387,nan,nan,0.0452427,0.0314686,-0.696002,nan,nan,-0.0896946,0.385751,0.478915,1,0.19886,0.17541,-0.9576,-0.287827,0.0125309,2.93941,0.14877,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,3,7,664,0.772004,4.5954,-1.45535,0.312759,0.0335748,0.000250185,-0.098166,-0.13071,0.986549,2.11223,0.89265,0.106551,0.000799928,0.9992,0.000721859,0.0137984,0.324028,0.986549,0.164205,0.099178,-0.131725,-0.13958,-1.45535,0.000250185,9.31528,0.122846,0.0794845,-2.88716,nan,nan,1.54535,0.996438,0.912684,1,0.740825,0.769878,-0.298842,-0.953803,0.0308684,0.0403798,3.09397,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
